,0
0,5
1,2
2,3
3,0
4,6
5,3
6,2
7,2
8,6
9,0
10,2
11,6
12,4
13,9
14,3
15,3
16,8
17,5
18,5
19,9
20,8
21,6
22,7
23,3
24,4
25,1
26,3
27,3
28,0
29,0
30,3
31,0
32,2
33,1
34,5
35,6
36,7
37,8
38,9
39,4
40,6
41,8
42,2
43,8
44,3
45,9
46,5
47,9
48,1
49,1
50,8
51,8
52,7
53,2
54,9
55,1
56,6
57,3
58,3
59,8
60,5
61,2
62,1
63,8
64,9
65,3
66,7
67,3
68,8
69,6
70,7
71,7
72,2
73,8
74,8
75,2
76,3
77,4
78,2
79,0
80,1
81,0
82,1
83,9
84,8
85,7
86,7
87,5
88,6
89,8
90,6
91,0
92,6
93,5
94,2
95,6
96,5
97,5
98,8
99,5
100,3
101,1
102,5
103,0
104,6
105,6
106,2
107,1
108,8
109,6
110,9
111,3
112,4
113,4
114,1
115,0
116,1
117,0
118,3
119,6
120,3
121,5
122,5
123,9
124,8
125,8
126,9
127,2
128,4
129,0
130,9
131,4
132,5
133,9
134,1
135,0
136,1
137,1
138,6
139,7
140,9
141,9
142,4
143,9
144,4
145,4
146,5
147,4
148,3
149,3
150,9
151,7
152,7
153,2
154,3
155,8
156,3
157,7
158,8
159,5
160,1
161,3
162,9
163,1
164,9
165,9
166,4
167,2
168,3
169,7
170,5
171,5
172,0
173,7
174,3
175,9
176,9
177,4
178,0
179,3
180,8
181,3
182,7
183,7
184,9
185,2
186,8
187,1
188,6
189,3
190,4
191,7
192,9
193,9
194,0
195,0
196,0
197,2
198,6
199,0
200,4
201,0
202,6
203,2
204,0
205,9
206,1
207,1
208,4
209,9
210,1
211,7
212,6
213,0
214,9
215,3
216,9
217,2
218,8
219,1
220,4
221,2
222,8
223,0
224,4
225,5
226,9
227,5
228,2
229,1
230,1
231,7
232,8
233,6
234,1
235,6
236,5
237,9
238,4
239,3
240,1
241,0
242,0
243,0
244,4
245,7
246,2
247,0
248,5
249,3
250,7
251,7
252,2
253,6
254,1
255,0
256,3
257,8
258,5
259,9
260,8
261,9
262,3
263,0
264,0
265,8
266,8
267,4
268,8
269,5
270,5
271,5
272,4
273,6
274,8
275,5
276,6
277,1
278,8
279,5
280,6
281,4
282,2
283,1
284,7
285,5
286,0
287,5
288,7
289,4
290,9
291,2
292,0
293,0
294,2
295,3
296,2
297,2
298,9
299,7
300,7
301,4
302,0
303,3
304,1
305,8
306,5
307,7
308,3
309,5
310,2
311,2
312,5
313,4
314,4
315,8
316,4
317,0
318,2
319,2
320,6
321,9
322,4
323,7
324,1
325,7
326,4
327,2
328,8
329,0
330,8
331,6
332,8
333,3
334,2
335,9
336,5
337,1
338,1
339,5
340,2
341,2
342,3
343,2
344,6
345,1
346,9
347,7
348,9
349,3
350,7
351,7
352,0
353,5
354,9
355,7
356,7
357,1
358,9
359,4
360,3
361,4
362,2
363,7
364,3
365,3
366,9
367,9
368,1
369,6
370,4
371,6
372,3
373,7
374,3
375,9
376,8
377,5
378,0
379,8
380,5
381,8
382,6
383,8
384,7
385,7
386,6
387,0
388,2
389,1
390,7
391,5
392,7
393,5
394,2
395,3
396,8
397,5
398,5
399,8
400,9
401,3
402,2
403,6
404,6
405,2
406,5
407,6
408,2
409,0
410,5
411,9
412,3
413,0
414,7
415,8
416,2
417,8
418,5
419,6
420,5
421,8
422,4
423,5
424,7
425,0
426,4
427,3
428,6
429,7
430,8
431,2
432,2
433,6
434,5
435,4
436,0
437,9
438,3
439,1
440,7
441,4
442,5
443,0
444,8
445,3
446,5
447,4
448,1
449,3
450,3
451,3
452,2
453,5
454,1
455,6
456,1
457,1
458,7
459,8
460,0
461,6
462,6
463,2
464,0
465,8
466,1
467,5
468,3
469,7
470,1
471,6
472,9
473,0
474,1
475,3
476,7
477,2
478,9
479,0
480,1
481,0
482,6
483,6
484,7
485,2
486,9
487,3
488,4
489,3
490,2
491,7
492,3
493,5
494,3
495,9
496,3
497,4
498,7
499,7
500,3
501,2
502,4
503,2
504,8
505,4
506,4
507,5
508,3
509,1
510,8
511,0
512,7
513,7
