CMDLINE c:\users\mingz\pycharmprojects\samplepycharmproject\venv\scripts\python.exe kmeans_Digits/train_kmeans.py
MEM 1.820312 1632204714.4628
MEM 7.105469 1632204714.5645
MEM 7.105469 1632204714.6766
MEM 7.105469 1632204714.7883
MEM 7.105469 1632204714.8975
MEM 7.105469 1632204715.0059
MEM 7.105469 1632204715.1173
MEM 7.105469 1632204715.2275
MEM 7.105469 1632204715.3364
MEM 7.105469 1632204715.4454
MEM 7.105469 1632204715.5573
MEM 7.105469 1632204715.6672
MEM 7.105469 1632204715.7772
MEM 7.105469 1632204715.8856
MEM 7.105469 1632204715.9945
MEM 7.105469 1632204716.1065
MEM 7.105469 1632204716.2185
MEM 7.105469 1632204716.3283
MEM 7.105469 1632204716.4383
MEM 7.105469 1632204716.5463
MEM 7.105469 1632204716.6542
MEM 7.105469 1632204716.7611
